1_quest;2_answer
"""где запланировано подписание меморандума о сотрудничестве между сбербанком и """"вертолетами россии""""?""";"на петербургском международном экономическом форуме
"
что планируется в соответствии с условиями меморандума?;"установление партнерских отношений
"
"""на что будет направлено сотрудничество сбербанка и """"вертолетов россии""""?""";"на создание федерального логистического оператора
"
для чего предназначен беспилотный вертолет vrt300?;"для инкассации
"
сотрудничество каких компаний привело к появлению vrt300?;"сбербанка и вертолеты россии
"
когда сбербанк впервые испытал беспилотный летательный аппарат для доставки наличных денег?;"16.06.2017
"
с какой скоростью летает беспилотный летательный аппарат сбербанка для доставки наличных денег?;"180 км/ч
"
какое расстояние преодолел беспилотный летательный аппарат сбербанка на первом испытании?;"10 км
"
какое устройство использовал сбербанк для доставки наличных денег?;"беспилотный летательный аппарат
"
какой российский банк впервые испытал беспилотный летательный аппарат для доставки наличных денег?;"сбербанк
"
какое главное задание комплекса vrt300 arctic supervision? ;"развитие транспортной системы северного морского пути.
"
чем оборудован комплекс vrt300 arctic supervision?;"бортовым радиолокатором бокового обзора x-диапазона высокого разрешения.
"
где применяется арктическая версия vrt300?;"на ледоколах и на буровых платформах.
"
груз какого веса может перевозить комплекс?;" 70 кг
"
для чего применяется бортовой радиолокатор бокового обзора? ;"он позволяет оперативно оценить динамику ледовой обстановки.
"
в какую госкорпорацию входит холдинг «вертолеты россии»;"в госкорпорацию «рсотех»
"
какой беспилотный аппарат был разработан ;"vrt300
"
какая максимальная взлетная масса аппарата ;"300 кг
"
какая целевая полезная нагрузка ;"70 кг
"
в каком году планируется сертифицировать аппарат ;"в 2019г
"
какая задача комплекса vrt300 arctic supervision является приоритетной? ;"развитие транспортной системы северного морского пути
"
какова целевая нагрузка комплекса vrt300 arctic supervision? ;"70 кг
"
для чего используется комплекс vrt300 arctic supervision? ;"для обеспечения поисково-спасательных работ 
"
чём оснащён комплекс vrt300 arctic supervision? ;"бортовым радиолокатором бокового обзора x-диапазона
"
для чего нужен бортовой радиолокатор бокового обзора? ;"для оценки динамики обстановки
"
когда была создана госкорпорация ростех?;"в 2007г.
"
сколько организаций входит в состав корпорации ростех?;"более 700
"
какой была выручка ростеха в 2016г.?;"1 трлн 266 млрд рублей
"
какова средняя зарплата по корпорации за 2016г.?;"44 000 рублей
"
внедрение чего относится к одной из главных задач ростеха?;"внедрение нового технологического уклада
"
для функционирования в какой области жизнеобеспечения предназначен комплекс vrt300 в исполнении opticvision?;"в сфере добычи и транспортировки энергоресурсов.
"
для развития чего  в сфере добычи и транспортировки энергоресурсов предназначен комплекс vrt300 в исполнении opticvision ;"системы диагностики, предупреждения и ликвидации аварийных ситуаций.
"
как долго версия opticvision комплекса vrt300 может находиться в воздухе?;"до 5 часов.
"
с какой скоростью  может передвигаться версия opticvision комплекса vrt300?;"180 км/ч.
"
что относится к прочим задачам комплекса vrt300?;"диагностика воздушных линий электропередачи.
"
какую систему винтов имеет vrt300?;"соосную.
"
сколько винтов имеет vrt300?;"два
"
какой размах винтов у vrt300?;"3,5 метра
"
какие характеристики повышаются благодаря соосной системе винтов у vrt300?;"управляемость и устойчивость к порывам ветра.
"
насколько снижается расход топлива благодаря соосной системе винтов у vrt300?;"на 20%.
"
какую систему винтов имеет vrt300;"соосную 
"
какой размах винтов ;"3,5 метра
"
в каких направления вращаются винты;"в противоположных 
"
преимущества соосной системы винтов ;"повышает управляемость и устойчивость к порывам ветра
"
на сколько процентов возможно снизить расход топлива при соосной системе винтов при зависании;"на двадцать процентов
"
"""какой аппарат был разработан холдингом """"вертолеты россии""""?""";"беспилотный аппарат vrt300
"
какова его взлетная масса?;"300 кг
"
какова его целевая полезная нагрузка?;"70 кг.
"
когда планируется сертифицировать аппарат?;"в 2019 г.
"
когда планируется начало коммерческих продаж?;"в 2020г.
"
на каком форуме запланировано подписание меморандума  о сотрудничестве между пао «сбербанк» и ао «вертолеты россии»?;"на петербургском международном экономическом форуме.
"
для чего предназначена версия vrt300?;"представленная версия vrt300 предназначена для инкассации.
"
какие отношения предполагает меморандум о сотрудничестве между пао «сбербанк» и ао «вертолеты россии»?;"предполагается установление партнерских отношений.
"
какая версия версия предназначена для инкассации?;"vrt300
"
какая цель меморандума о сотрудничестве между пао «сбербанк» и ао «вертолеты россии»?;"cоздание федерального логистического оператора.
"
какой комплекс разработан в версиях arctic supervision и opticvision?;"комплекс vrt300 
"
в каких двух версиях создан комплекс vrt300?;"версиях arctic supervision и opticvision.
"
для каких климатических условий создана версия arctic supervision комплекса vrt300?;"для эксплуатации в условиях арктики.
"
с какой целью разработан версия opticvision комплекса vrt300?;"для мониторинга и дистанционного зондирования.
"
какой радар встроен в версию arctic supervision комплекса vrt300?;"бокового обзора. 
"
сколько вариантов разработки комплекса vrt300?;"две
"
вусловиях какой части света используется комплекс vrt300 arctic supervision?;"в условиях арктики
"
какой вариант комплекса vrt300 используется для дистанционного зондирования?;"opticvision
"
в каких модификациях разрабатывается комплекс vrt300?;"arctic supervision и opticvision
"
какое оборудование разрабатывается в двух модификациях?;"vrt300
"
когда была основана государственная корпорация ростех?;"в 2007 г. 
"
сколько организаций включены в структуру ростеха?;"более 700.
"
владельцем каких брендов является ростех?;"автоваз, камаз, концерн калашников, «вертолёты россии», всмпо-ависма.
"
рынки скольких государств снабжает своими товарами ростех?;"более 70.
"
какое жалование в среднем получал работник государственной корпорации ростех в 2016 году?;"44 000 рублей.
"
что создал впервые сбербанк?;"беспилотный летательный аппарат
"
какой новый способ доставки денег испытал сбербанк?;"беспилотный аппарат для доставки наличных денег
"
на какое расстояние беспилотник сбербанка доставил деньги? ;"дистанцию 10 км
"
с какой скоростью беспилотный летательный аппарат доставил деньги?;"со скоростью 180 км/ч 
"
какое ноу хау применил сбербанк по доставке денег?;"сбербанк впервые применил беспилотный летательный аппарат
"
выручка «вертолетов россии» составила;"214,3 млрд рублей
"
холдинг образован в россии;" 2007 году
"
главный офис холдинга находится ;"в москве
"
один из мировых лидеров вертолетостроительной отрасли;"ао «вертолеты россии»
"
 в состав холдинга входят;"пять вертолетных заводов
"
вкаком году была создана госкорпорация ростех?;"в 2007 г.
"
какое количество организаций входит в состав госкорпорации ростех?;"более 700.
"
сколько чистой прибыли получила госкорпорация ростех в 2016 году?;"88 млрд рублей.
"
какое количество доналоговой прибыли (ebitda) корпорация ростех получила в 2016 году?;"268 млрд рублей.
"
каков средний уровень заработной платы в корпорации ростех за 2016 год?;"44 000 рублей.
"
какого числа сбербанк испытал беспилотный летательный аппарат для доставки наличных денег?;"16.06.2017
"
для чего сбербанку беспилотный летательный аппарат?;"для доставки денег.
"
с какой скоростью передвигается устройство?;"устройство со скоростью 180 км/ч
"
какую дистанцию преодолело устройство?;" устройство преодолело дистанцию 10 км 
"
между какими точками преодолело дистанцию устройство?;"от кассового центра до инкассаторского автомобиля.
"
где запланировано подписание меморандума о сотрудничестве между пао «сбербанк» и ао «вертолеты россии».;"на петербургском международном экономическом форуме.
"
что запланировано на петербургском международном экономическом форуме?;"подписание меморандума о сотрудничестве.
"
между какими организациями запланировано подписание меморандума о сотрудничестве?;"пао «сбербанк» и ао «вертолеты россии».
"
что предполагается в рамках меморандума о сотрудничестве между пао «сбербанк» и ао «вертолеты россии»?;"установление партнерских отношений.
"
какое предназначение у представленной версии vrt300?;"для инкассации. 
"
в каком году была создана госкорпорация ростех?;"в 2007
"
какой состав у госкорпорации ростех?;"в её состав входят более 700 организации
"
какие известные бренды входят в портфель ростеха?;"автоваз, камаз, концерн калашников, «вертолёты россии», всмпо-ависма
"
какая средняя заработная плата по корпорации?;"в 2016 году составила 44 000 рублей
"
что является основной задачей корпорации?;"обеспечение технологического преимущества россии на мировых рынках
"
какую винтовую схему имеет vrt300?;"соосную.
"
каков размах винтов аппарата vrt300?;"3,5 метра.
"
каковы преимущества соосной системы винтов в управляемости?;"повышает управляемость и устойчивость к порывам ветра.
"
насколько снижается расход топлива при зависании?;"на 20%.
"
каковы преимущества компактности дрона?;"это дает возможность корабельного базирования.
"
для чего предназначен комплекс  vrt300);"для развития системы диагностики.
"
сколько по времени может находиться в воздухе комплекс  vrt300?;"до 5 часов.
"
с какой скоростью может передвигаться комплекс  vrt300?;"180 км/ч.
"
в какой версии исполнен комплекс  vrt300?;"opticvision.
"
что еще относится к задачам комплекса?;"диагностика воздушных линий электропередачи, картографирование.
"
какие основные задачи  комплекса vrt300 arctic supervision?;"развитие транспортной системы северного морского пути.
"
какая основная задача комплекса vrt300?;"помощь в освоении арктики.
"
чем оснащен комплекс vrt300?;"бортовым радиолокатором бокового обзора x-диапазона.
"
на чем работает двигатель комплекса vrt300?;"на «тяжелом» топливе.
"
какое основное направление использования комплекса vrt300?;"определения параметров ледяных полей.
"
что испытал сбербанк 16.06.2017года?;"сбербанк испытал беспилотник для доставки денег
"
с какой скоростью летает аппарат?;"устройство перемещается со скоростью 180 км/ч.
"
на какое расстояние прошло испытание?;"устройство преодолело дистанцию в 10 км.
"
между какими обьектами использовали беспилотник?;"между кассовым центром и инкасаторским автомобилем.
"
проводились ли такие испытания раньше?;"сбербанк впервые испытал беспилотник.
"
 сколько винтов имеет дрон vrt300?;"два винта
"
какую систему винтов имеет дрон vrt300?;"соосную
"
какой размах dbynjd у дрона  vrt300;"3,5 метра
"
в каких направлениях вращаются винты дрона vrt300;"в противоположных
"
какую возможность дает соосная система винтов?;"корабельного базирования
"
с какой скоростью передвигается комплекс vrt300 в исполнении opticvision;"180 км/ч
"
сколько времени может находиться в воздухе комплекс vrt300 в исполнении opticvision;"до 5 часов
"
какая основная область применения комплекса vrt300 в исполнении opticvision;"добыча и транспортировка углеводоров
"
в каких случаях необходимо применение комплекса vrt300 в исполнении opticvision;"при аварийных ситуациях
"
в каком исполнении комплекс vrt300 используется для систем диагностики аварийных ситуаций при добыче и транспартировке углеводородов;"opticvision
"
сотрудничество между кем запланировано?;"пао «сбербанк» и ао «вертолеты россии»
"
какая версия предназначена для инкассации?;"vrt300
"
для чего предназначена vrt300?;"для инкассации
"
на каком форуме запланировано подписание меморандума о сотрудничестве между пао «сбербанк» и ао «вертолеты россии»?;"на петербургском международном экономическом форуме
"
что планируется в рамках меморандума?;"установление партнерских отношений
"
куда входит ао «вертолеты россии»?;" в госкорпорацию ростех
"
сколько вертолетных предприятий входит в ао «вертолеты россии»?;"пять
"
в каком году образован холдинг «вертолеты россии»;"в 2007 году
"
сколько вертолетов поставил холдинг «вертолеты россии» в 2016 году?;"189 вертолетов.
"
какова выручка «вертолетов россии» в 2016 году?;"214,3 млрд рублей
"
каков диаметр размаха винтов vrt300?;"3,5 метра
"
в каком направлении вращаются винты vrt300?;"в противоположных направлениях
"
сколько топлива может быть сэкономлено при зависании vrt300?;"20% топлива
"
в каких версиях разрабатывается аппарат vrt300?;"в двух вариантах: arcric supervision и opticvision
"
для каких целей применяется арктическая версия аппарата?;"данная версия применяется для ледовой разведки
"
чем отличаются варианты vrt 300;"возможный радиус действия и оборудовании
"
какие основные задачи выполняет вторая версия аппарата;"зондировние и мониторинг
"
что устанвллено в арктичечуоа версии аппарата ;"боковой радар
"
когда создана корпорация ростех?;"в 2007 г.
"
сколько организаций в корпорации ростех?;"более 700.
"
в каком количестве регионов присутствует ростех?;"60 субъектов рф.
"
средняя зарплата в корпорации ростех?;"44 000 рублей.
"
куда входит холдинг «вертолеты россии»?;"в госкорпорацию «ростех».
"
какое расстояние пролетело устройство? ;"10 километров 
"
какая была скорость устройства? ;"180 км/ч
"
между какими объектами летело устройство? ;"""от кассового центра до инкассаторского автомобиля.
"
когда впервые было запущено устройство? ;"16.06.2017
"
какое именно устройство было запущено? ;"беспилотный летающий аппарат для доставки наличных денег
"
какое устройство винтов у аппарата vrt300?;"vrt300 имеет соосную систему винтов.
"
сколько винтов у аппарата vrt300?;"два винта размахом 3,5 метра
"
чем полезна соосная система винтов аппарата vrt300?;"повышает управляемость и устойчивость к порывам ветра.
"
какие преимущества соосной системы винтов аппарата vrt300?;"снижает расход топлива при зависании на 20%
"
какие плюсы системы винтов  vrt300?;"такая система делает дрон более компактным.
"
какой холдинг разработал беспилотный аппарат vrt300?;"холдинг «вертолеты россии»
"
в каком году планируется планируется сертифицировать беспилотное устройство vrt300 ?;"в 2019 г. 
"
в какую корпорацию входит холдинг «вертолеты россии» ?;"входит в госкорпорацию «ростех»
"
какое устройство станет первой летающей лабораторией для испытания всех систем и оборудования?;"беспилотный аппарат vrt300
"
в каком году планируются коммерческие продажи беспилотного устройства vrt300?;"в 2020 г.
"
что разработал холдинг «вертолеты россии» ?;"беспилотный аппарат vrt300
"
в какой году планируется сертифицировать аппарат;"в 2019 г.
"
на когда планируются коммерческие продажи аппарата?;"в 2020 г.
"
какая целевая полезная нагрузка аппарата?;"70 кг
"
куда входит холдинг «вертолеты россии» ?;"в госкорпорацию «ростех»
"
что испытал сбербанк 16.06.2017?;"беспилотный летательный аппарат для доставки наличных денег.
"
с какой скоростью беспилотный летательный аппарат для доставки денег передвигается?;"180 км/ч
"
какую дистанцию преодолело устройство для доставки денег при тестировании?;"10 км
"
когда сбербанк впервые испытал беспилотный летательный аппарат для доставки денег?;"16.06.2017 года
"
для чего был создан беспилотный летательный аппарат сбербанком?;"для доставки наличных денег.
"
"""куда входит холдинг ао """"вертолеты россии""""?""";"в госкорпорацию ростек
"
"""где находится главный офис холдинга ао """"вертолеты россии""""""";"в москве
"
"""в каком году был создан холдинг ао """"вертолеты россии""""""";"в 2007
"
"""сколько вертолетных завода имеет холдинг ао""""вертолеты россии""""""";"пять
"
"""какой доход холдинг ао """"вертолеты россии"""" получил в 2016 году?""";"214,3 млрд рублей
"
 vrt300 arctic supervision является ли он развитием северного пути  ;"да
"
чем оснащен комплекс ;"бортовым радиолокатором
"
какая   целевая нагрузка нагрузка комплекса ;"70 кг
"
какие грузы может комплекс  достовлять ;"продукты медикоменты
"
может ли коплекс обеспечить поисковые работы ;"да
"
какой комплекс разрабатывается в двух версиях?;"комплекс vrt300
"
в скольки версиях разрабатывается комплекс vrt300?;"в двух версиях
"
как называется радар бокового обзора для ведения ледовой разведки?;"arctic supervision
"
для какой разведки нужен arctic supervision?;"для ведения ледовой разведки
"
в каких условиях применяется радар arctic supervision?;"в условиях арктики
"
сколько метров составляет размах винтов?;"3,5 метра
"
как вращаются винты в vrt300?;"в противоположных направлениях
"
преимущество системы дрона vrt300?;"делает дрон более компактным
"
как соосная система влияет на горючее?;"снижает расход топлива при зависании на 20%
"
в каком году планируется сертифицировать аппарат vrt300?;"в 2019 г.
"
какова максимальная взлетная масса аппарата vrt300?;"максимальная взлетная масса 300 кг.
"
кто разработал аппарат vrt300?;"холдинг «вертолеты россии».
"
в каком году начнутся коммерческие продажи vrt300?;"в 2020 году.
"
какова полезная нагрузка аппарата vrt300?;"целевой полезная нагрузка 70 кг.
"
сколько винтов у vrt300?;"два винта.
"
какую систему винтов имеет  vrt300?;"соосную
"
какой размах винтов у дрона vrt300?;"3,5 метра.
"
есть ли возможность корабельного базирования?;"да, дрон  компактный.
"
как вращаются винты?;"в противоположных направлениях.
"
развитие какой транспортной системы является приоритетной задачей комплекса vrt300 arctic supervision?;"транспортной системы северного морского пути.
"
помощь в освоении какого региона является приоритетной задачей комплекса vrt300 arctic supervision?;"арктики.
"
каким бортовым радиолокатором оснащён комплекс vrt300 arctic supervision?;"бокового обзора x-диапазона высокого разрешения.
"
на каком топливе работает двигатель комплекса vrt300 arctic supervision?;"на «тяжелом».
"
какова целевая нагрузка комплекса vrt300 arctic supervision?;"70 кг.
"
какое устройство сбербанк впервые протестировал 16.06.2017?;"сбербанк впервые испытал беспилотный летательный аппарат.
"
для чего сбербанк испытал беспилотник?;"для доставки наличных денег.
"
с какой скоростью беспилотник сбербанка пересек расстояние?;"со скоростью 180 км/ч.
"
откуда вылетел беспилотник сбербанка?;"от кассового центра.
"
до куда летел беспилотник сбербанка?;"до инкассаторского автомобиля.
"
название аппарата;"vrt300
"
какая взлетная масса;"300 кг
"
какая полезная нагрузка;"70 кг
"
когда комерчиские продажи;"2020 год
"
кто создал;"вертолеты россии
"
